date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2023-01-01,JNJ,2022,4,187378000000.0,110574000000.0,76804000000.0,39642000000.0,12889000000.0,55294000000.0,55802000000.0,14039000000.0,10268000000.0,17982000000.0,12548000000.0,3520000000.0,9641000000.0,2821000000.0,4085000000.0,5857000000.0,2907000000.0,6820000000.0,3485000000.0,3107000000.0,5350000000.0,3763000000.0,-1587000000.0,1772000000.0,2614483607.0,2663900000.0,29.3763555427793,1.34,1.32,0.237260677953774,0.0998690474699442,0.51614499244831,0.990896383642163,0.76832961428116,0.76832961428116
2023-01-01,JNJ,2022,0,187378000000.0,110574000000.0,76804000000.0,39642000000.0,12889000000.0,55294000000.0,55802000000.0,14039000000.0,10268000000.0,17982000000.0,79990000000.0,17941000000.0,55394000000.0,19955000000.0,21206000000.0,28176000000.0,24596000000.0,35439000000.0,14135000000.0,20246000000.0,21194000000.0,17185000000.0,-4009000000.0,6970000000.0,2614483607.0,2663900000.0,,6.83,6.73,,,,,,
2023-04-02,JNJ,2023,1,195969000000.0,125100000000.0,70869000000.0,52907000000.0,26865000000.0,64388000000.0,60373000000.0,16350000000.0,12809000000.0,20174000000.0,20894000000.0,-68000000.0,14207000000.0,5667000000.0,-652000000.0,1228000000.0,6687000000.0,8540000000.0,3455000000.0,4906000000.0,3257000000.0,2394000000.0,-863000000.0,1880000000.0,2604286303.0,2605500000.0,27.2124458506588,-0.03,-0.03,0.170432208526299,0.0691338571981608,0.746546444848947,1.06650323820251,0.679955968220542,0.679955968220542
2023-07-02,JNJ,2023,2,191686000000.0,115277000000.0,75149000000.0,45602000000.0,21183000000.0,60567000000.0,54170000000.0,16777000000.0,12888000000.0,20576000000.0,21519000000.0,5144000000.0,15057000000.0,5813000000.0,6291000000.0,8225000000.0,6462000000.0,9244000000.0,3703000000.0,5396000000.0,4182000000.0,3058000000.0,-1124000000.0,1934000000.0,2598734075.0,2655900000.0,29.4023927784916,1.98,1.96,0.175562586367472,0.0696067623177548,0.606821115384104,1.11809119438804,0.699707235466332,0.699707235466332
2023-10-01,JNJ,2023,3,166061000000.0,94833000000.0,71228000000.0,29921000000.0,19728000000.0,53703000000.0,44370000000.0,14798000000.0,11198000000.0,18821000000.0,21351000000.0,26028000000.0,14745000000.0,5534000000.0,27128000000.0,28957000000.0,6606000000.0,9211000000.0,3447000000.0,5400000000.0,7489000000.0,6522000000.0,-967000000.0,1829000000.0,2598969594.0,2549700000.0,27.4062459847308,10.32,10.21,0.470994728787621,0.186880476700661,0.420073566574942,1.21034482758621,0.690599971898272,0.690599971898272
2023-12-31,JNJ,2023,4,167558000000.0,98784000000.0,68774000000.0,29332000000.0,21859000000.0,53495000000.0,46282000000.0,14873000000.0,11181000000.0,19898000000.0,21395000000.0,4049000000.0,14597000000.0,4193000000.0,4894000000.0,6737000000.0,6798000000.0,10404000000.0,4480000000.0,5810000000.0,7863000000.0,6274000000.0,-1589000000.0,1843000000.0,2407278620.0,2560400000.0,28.5691898846341,1.61,1.58,0.491615970911125,0.194949492148615,0.426498386017972,1.15584892614839,0.682262210796915,0.682262210796915
2023-12-31,JNJ,2023,0,167558000000.0,98784000000.0,68774000000.0,29332000000.0,21859000000.0,53495000000.0,46282000000.0,14873000000.0,11181000000.0,19898000000.0,85159000000.0,35153000000.0,58606000000.0,21207000000.0,37661000000.0,45147000000.0,26553000000.0,37399000000.0,15085000000.0,21512000000.0,22791000000.0,18248000000.0,-4543000000.0,7486000000.0,2407278620.0,2560400000.0,,13.88,13.72,,,,,,
2024-03-31,JNJ,2024,1,171966000000.0,101946000000.0,70020000000.0,33632000000.0,25473000000.0,57002000000.0,48725000000.0,14946000000.0,11383000000.0,19632000000.0,21383000000.0,3255000000.0,14872000000.0,5909000000.0,3869000000.0,5684000000.0,6511000000.0,8963000000.0,3542000000.0,5257000000.0,3657000000.0,2850000000.0,-807000000.0,1815000000.0,2408767228.0,2430100000.0,29.0688112932098,1.35,1.34,0.539690220955146,0.22072336293923,0.480319908597544,1.16987172909184,0.695505775616144,0.695505775616144
2024-06-30,JNJ,2024,2,181088000000.0,109550000000.0,71538000000.0,41491000000.0,24878000000.0,57817000000.0,53933000000.0,15794000000.0,12169000000.0,19748000000.0,22447000000.0,4686000000.0,15578000000.0,6276000000.0,6018000000.0,7800000000.0,6869000000.0,9302000000.0,3440000000.0,5681000000.0,5633000000.0,4657000000.0,-976000000.0,1782000000.0,2406679183.0,2422000000.0,29.7247761585014,1.95,1.93,0.540105128569399,0.2214620350589,0.5799854622718,1.07201527821556,0.693990288234508,0.693990288234508
2024-09-29,JNJ,2024,3,178287000000.0,108129000000.0,70158000000.0,35751000000.0,19980000000.0,53249000000.0,51759000000.0,16174000000.0,12603000000.0,20479000000.0,22471000000.0,2694000000.0,15508000000.0,5037000000.0,3531000000.0,5377000000.0,6963000000.0,10471000000.0,4952000000.0,5478000000.0,7993000000.0,6964000000.0,-1029000000.0,1846000000.0,2407243667.0,2427900000.0,29.144536118952,1.12,1.11,0.209404969874149,0.0840407555311998,0.509578380227487,1.0287872640507,0.690133950424992,0.690133950424992
2024-12-29,JNJ,2024,4,180104000000.0,108614000000.0,71490000000.0,36634000000.0,24105000000.0,55893000000.0,50321000000.0,14842000000.0,12444000000.0,20518000000.0,22520000000.0,3431000000.0,15392000000.0,3582000000.0,4024000000.0,5920000000.0,7128000000.0,11810000000.0,5298000000.0,6453000000.0,6983000000.0,5371000000.0,-1612000000.0,1896000000.0,2407622972.0,2429400000.0,29.6931873600681,1.42,1.41,0.198668107314111,0.0790841175354384,0.512435305637152,1.11072911905566,0.68348134991119,0.68348134991119
2024-12-29,JNJ,2024,0,180104000000.0,108614000000.0,71490000000.0,36634000000.0,24105000000.0,55893000000.0,50321000000.0,14842000000.0,12444000000.0,20518000000.0,88821000000.0,14066000000.0,61350000000.0,20804000000.0,17442000000.0,24781000000.0,27471000000.0,40546000000.0,17232000000.0,22869000000.0,24266000000.0,19842000000.0,-4424000000.0,7339000000.0,2407622972.0,2429400000.0,,5.84,5.79,,,,,,
2025-03-30,JNJ,2025,1,193671000000.0,115562000000.0,78109000000.0,52252000000.0,38474000000.0,71551000000.0,56903000000.0,16020000000.0,12659000000.0,20871000000.0,21893000000.0,10999000000.0,14536000000.0,6182000000.0,13835000000.0,15607000000.0,7357000000.0,8354000000.0,3225000000.0,5112000000.0,4174000000.0,3379000000.0,-795000000.0,1772000000.0,2407616693.0,2423800000.0,32.4424565700583,4.57,4.54,0.299490207521585,0.118993384709814,0.668962603541205,1.2574205226438,0.6639565157813,0.6639565157813
2025-06-29,JNJ,2025,2,193389000000.0,114916000000.0,78473000000.0,50761000000.0,18577000000.0,54498000000.0,54180000000.0,17846000000.0,13412000000.0,21949000000.0,23743000000.0,5537000000.0,16115000000.0,6646000000.0,6799000000.0,8742000000.0,7628000000.0,9469000000.0,3516000000.0,5889000000.0,3878000000.0,2835000000.0,-1043000000.0,1943000000.0,2406073279.0,2419100000.0,32.614551138116,2.3,2.29,0.303939912148342,0.121596188079431,0.646859429357868,1.00586932447398,0.678726361453902,0.678726361453902
